Collection,Operation,n,Time_ns,MemoryBytes,IsCustom
ArrayList,get,1000,56,-903,false
MyArrayList,get,1000,51,10,true
ArrayList,add_end,1000,6,-903,false
MyArrayList,add_end,1000,10,10,true
ArrayList,get,5000,46,-156,false
MyArrayList,get,5000,45,19,true
ArrayList,add_end,5000,7,-156,false
MyArrayList,add_end,5000,4,19,true
ArrayList,get,10000,48,-76,false
MyArrayList,get,10000,45,19,true
ArrayList,add_end,10000,5,-76,false
MyArrayList,add_end,10000,3,19,true
ArrayList,get,50000,19,0,false
MyArrayList,get,50000,18,23,true
ArrayList,add_end,50000,4,0,false
MyArrayList,add_end,50000,4,23,true
ArrayList,get,100000,16,-9,false
MyArrayList,get,100000,21,0,true
ArrayList,add_end,100000,4,-9,false
MyArrayList,add_end,100000,4,0,true
LinkedList,get,1000,802,-843,false
MyLinkedList,get,1000,744,37,true
LinkedList,addFirst,1000,6,-843,false
MyLinkedList,addFirst,1000,6,37,true
LinkedList,get,5000,3120,-153,false
MyLinkedList,get,5000,3088,39,true
LinkedList,addFirst,5000,6,-153,false
MyLinkedList,addFirst,5000,5,39,true
LinkedList,get,10000,6817,-56,false
MyLinkedList,get,10000,6636,39,true
LinkedList,addFirst,10000,6,-56,false
MyLinkedList,addFirst,10000,5,39,true
LinkedList,get,50000,37902,22,false
MyLinkedList,get,50000,37617,41,true
LinkedList,addFirst,50000,6,22,false
MyLinkedList,addFirst,50000,5,41,true
LinkedList,get,100000,73180,-9,false
MyLinkedList,get,100000,73501,0,true
LinkedList,addFirst,100000,5,-9,false
MyLinkedList,addFirst,100000,5,0,true
HashMap,get,1000,178,-77
