Collection,n,TotalBytes,Elements,BytesPerElement
ArrayList,1000,-44784,1000,-44
ArrayList,5000,92712,5000,18
ArrayList,10000,196680,10000,19
ArrayList,50000,1003512,50000,20
ArrayList,100000,18592,100000,0
ArrayList,500000,40400,500000,0
ArrayList,1000000,245568,1000000,0
LinkedList,1000,31344,1000,31
LinkedList,5000,196152,5000,39
LinkedList,10000,399080,10000,39
LinkedList,50000,2016584,50000,40
LinkedList,100000,29024,100000,0
LinkedList,500000,102000,500000,0
LinkedList,1000000,235056,1000000,0
HashSet,1000,46264,1000,46
HashSet,5000,302016,5000,60
HashSet,10000,611320,10000,61
HashSet,50000,2952984,50000,59
HashSet,100000,38376,100000,0
HashSet,500000,740856,500000,1
HashSet,1000000,716040,1000000,0
TreeSet,1000,45672,1000,45
TreeSet,5000,276112,5000,55
TreeSet,10000,559832,10000,55
TreeSet,50000,2827328,50000,56
TreeSet,100000,49240,100000,0
TreeSet,500000,777384,500000,1
TreeSet,1000000,116440,1000000,0
HashMap,1000,97784,1000,97
HashMap,5000,575920,5000,115
HashMap,10000,1166736,10000,116
HashMap,50000,5832088,50000,116
HashMap,100000,720344,100000,7
HashMap,500000,755016,500000,1
HashMap,1000000,243336,1000000,0
TreeMap,1000,94312,1000,94
TreeMap,5000,549976,5000,109
TreeMap,10000,1115248,10000,111
TreeMap,50000,5715192,50000,114
TreeMap,100000,688952,100000,6
TreeMap,500000,624632,500000,1
TreeMap,1000000,1022192,1000000,1
PriorityQueue,1000,9384,1000,9
PriorityQueue,5000,94712,5000,18
PriorityQueue,10000,197536,10000,19
PriorityQueue,50000,1003872,50000,20
PriorityQueue,100000,17592,100000,0
PriorityQueue,500000,40488,500000,0
PriorityQueue,1000000,304728,1000000,0
ArrayDeque,1000,10120,1000,10
ArrayDeque,5000,95208,5000,19
ArrayDeque,10000,197744,10000,19
ArrayDeque,50000,1003960,50000,20
ArrayDeque,100000,17624,100000,0
ArrayDeque,500000,40512,500000,0
ArrayDeque,1000000,603232,1000000,0
