RestingOrders,SubmitTime_ns,CancelTime_ns,BestBidLookup_ns,BytesPerOrder
11774,360,360,111,899
23431,780,1570,152,720
34770,2310,600,19,666
46178,280,340,19,614
57348,340,180,14,604
69258,600,1990,29,576
80720,600,230,1,559
92577,540,220,18,544
103871,200,160,33,206
115402,540,170,21,240
127145,420,170,20,254
139048,690,190,21,274
150629,570,230,20,284
162512,1260,300,19,302
174119,600,220,12,310
185806,490,190,19,320
197348,500,260,17,348
208849,680,310,25,353
220421,510,230,23,359
231964,470,260,21,363
243854,570,240,34,376
255317,570,330,21,379
266709,610,300,23,383
278356,780,240,24,387
289866,530,230,19,389
301362,610,290,25,392
312842,440,350,22,397
324317,670,300,5,397
335899,470,230,25,193
346977,440,290,33,202
358749,560,270,19,210
370067,470,270,25,229
381578,380,260,23,236
392984,450,280,19,243
404340,410,280,23,264
416026,600,230,18,270
427451,620,300,23,275
439237,590,210,22,279
450650,540,260,17,284
461814,540,290,20,288
473313,500,290,20,292
485059,580,230,30,296
496823,360,320,24,300
508495,490,260,25,303
520101,550,290,25,306
532262,550,270,36,309
543522,390,270,23,320
555341,800,250,36,325
566908,340,230,24,244
577975,610,270,21,248
589694,490,230,18,252
601161,520,230,25,256
612258,440,290,26,260
623986,580,220,20,264
635791,690,420,27,267
646999,460,280,35,270
658635,570,220,26,274
669675,620,260,26,277
681385,770,270,27,280
693187,400,250,21,237
704830,570,240,21,241
716155,310,270,24,244
727856,510,260,22,249
739453,490,280,23,252
751151,640,270,23,255
762831,630,220,29,258
774470,540,230,22,247
785844,570,270,29,250
797327,400,260,24,265
808828,480,240,28,269
820670,600,220,20,278
832174,530,270,19,281
843392,470,230,26,245
854459,550,250,24,248
865583,400,230,23,250
877030,320,240,22,253
888486,600,250,22,256
900022,470,290,24,232
911563,540,230,23,234
923493,490,260,25,237
935220,500,270,24,240
946742,790,400,24,227
958460,510,240,20,230
969875,430,270,23,233
980976,460,260,29,235
992291,580,220,24,235
1003322,270,230,26,238
1015021,590,250,28,240
1026950,680,270,29,242
1038571,600,300,28,244
1050096,410,240,37,247
1062093,620,240,26,249
1073334,460,250,30,251
1084931,490,220,32,253
1096517,580,240,33,214
1107869,530,250,32,217
1119570,580,290,22,219
1131140,430,270,22,222
1142464,640,240,27,223
1153748,540,210,26,226
1165479,600,270,29,228
1176864,600,250,9,230
1188472,780,210,18,232
1199641,440,230,42,205
1211071,550,250,24,207
1222370,480,240,22,216
1233618,560,270,30,219
1245257,790,250,28,221
1256939,570,240,22,224
1268317,580,220,25,226
1279872,650,210,23,227
1291261,790,220,28,230
1302527,490,250,30,218
1313953,550,240,27,220
1325800,540,250,26,222
1337042,530,280,7,224
1348446,450,260,22,226
1359725,1010,440,22,220
1370878,540,220,29,222
1382143,480,190,6,223
1393690,360,220,25,225
1405024,570,230,26,224
1416708,590,290,19,226
1428214,450,200,25,228
1439644,450,210,22,229
1451024,570,260,26,231
1462372,470,240,20,233
1473818,350,260,25,235
1485069,640,230,4,237
1496335,700,300,28,238
1507672,390,270,22,240
1518975,670,270,19,241
1530330,640,360,30,243
1541686,770,310,17,245
1553238,590,210,17,246
1564961,450,260,23,211
1576416,2610,270,21,224
1588179,470,270,25,226
1599650,400,250,24,228
1611086,940,390,24,229
1622682,620,250,29,231
1634163,330,320,25,232
